hospital_name,ownership,specialty,approx_beds,emergency_24x7,accreditation,address,state,district,latitude,longitude
Abhishek Nethradhama,Private,Eye / Ophthalmology,,0.0,0.0,"Hig 2024, 3Rd 'B' Cross , Near State Bank Of India Yelahanka New Town",Karnataka,Bengaluru Rural,13.1042445,77.5713193
Adishesha Netralaya,Private,Multispecialty / General,,0.0,0.0,"1St Main,Kangeri Satellite Town",Karnataka,Bengaluru Rural,12.9179181,77.482727
Gautham Nursing Home,Private,Multispecialty / General,,0.0,0.0,"No-287,4Th Main Road, 2Nd Cross ,Kengeri Satellite Town",Karnataka,Bengaluru Rural,12.9571634,77.5311738
S.L.N.S.Hospital,Private,Multispecialty / General,,0.0,0.0,Kengeri,Karnataka,Bengaluru Rural,13.2846993,77.6077865
Sahana Hospital,Private,Multispecialty / General,,0.0,0.0,"143, 2Nd Main, 7Th Cross, Kengeri Satellite Town",Karnataka,Bengaluru Rural,12.9121521,77.537726
Shreya Hospital,Private,Multispecialty / General,,0.0,0.0,"No 73, 3Rd Main Road, Kengeri Satellite Town, Kengeri",Karnataka,Bengaluru Rural,12.924789,77.5473131
Smt.Shantha and Sri J.A.Narayanarao Foundation For Medical Sciences,Private,Multispecialty / General,,0.0,0.0,"No.878/879, 1St 'A' Main Road,Kengeri Satellite Town",Karnataka,Bengaluru Rural,13.0069012,77.5603496
Sri Annapoorneshwari Hospital,Private,Multispecialty / General,,0.0,0.0,80 Ft. Road,Karnataka,Bengaluru Rural,13.2846993,77.6077865
Bhagwan Mahaveer Jain Hospital,Private,Multispecialty / General,,0.0,0.0,"17, Millers Road, Vasanthnagar",Karnataka,Bengaluru Rural,12.9911307,77.5937662
Metro Hospital,Private,Multispecialty / General,,0.0,0.0,No. 21/3 Vasanthpur Main Road Konanakunte Cross,Karnataka,Bengaluru Rural,12.8991292,77.5563057
Rajnandani Hospital - Bangalore,Private,Multispecialty / General,,0.0,0.0,"#3, 6 Th Cross, Old Bank Colony, Konanakunte",Karnataka,Bengaluru Rural,12.8845351,77.5700356
Recoup Neuromusculoskeletal Rehabilitation Centre,Private,Neuro / Spine,,0.0,0.0,"No 312, 10Th Block, Anjanapura Layout, 80 Feet Road",Karnataka,Bengaluru Rural,12.8629705,77.5750517
Bhaanu Nursing Home,Private,Multispecialty / General,,0.0,0.0,"69/5B, Hesur Main Road, Bommanahalli, Bangalore",Karnataka,Bengaluru Rural,12.9510077,77.591831
Blossom Hospital,Private,Multispecialty / General,,0.0,0.0,"Bommanahalli, Hosur Road",Karnataka,Bengaluru Rural,12.9067146,77.6290895
City Clinic,Private,Multispecialty / General,,0.0,0.0,"Maruthi Nagar, 1St Main, Madiwala",Karnataka,Bengaluru Rural,12.9267539,77.6162491
Dr Pramod Singhs Clinic and Day Care Centre,Private,Multispecialty / General,,0.0,0.0,"No.43/1(999), Sreelakshmi Venkateswara Nilaya, M.G. Palya Main Road Bommanahalli",Karnataka,Bengaluru Rural,12.9335748,77.607332
Karanth Speciality Hospital,Private,Multispecialty / General,,0.0,0.0,"No 72, 35Th Main 1St Cross 100 Ft Ring Road, Btm Layour, 2Nd Stage Btm Layout",Karnataka,Bengaluru Rural,12.9165757,77.6101163
Kaveri Nursing Home Pvt. Ltd.,Private,Multispecialty / General,,0.0,0.0,"4/1, 3Rd Cross,Hosur Main Road, Madiwala",Karnataka,Bengaluru Rural,12.9238494,77.6173141
Kavya Hospital,Private,Multispecialty / General,,0.0,0.0,"No 4/158, Hongasandra Begur Main Road Bdgur Main Road",Karnataka,Bengaluru Rural,12.872581,77.620843
Kranthi Speciality Hospital,Private,Multispecialty / General,,0.0,0.0,"72,35 Th Main ,1St Cross 100 Ft Road",Karnataka,Bengaluru Rural,13.0135067,77.6441557
Live Hundred Hospital,Private,Multispecialty / General,,0.0,0.0,"104/1, Singasandra Hosur Road",Karnataka,Bengaluru Rural,12.9267346,77.616772
Mahanth Hospital,Private,Multispecialty / General,,0.0,0.0,"No-8, 1St Cross Ngr Layout Roopera Agrahara",Karnataka,Bengaluru Rural,12.9086378,77.6045368
Prashanth Hospital-,Private,Multispecialty / General,,0.0,0.0,"No. 90/D, Bommanahalli Circel, Hosurmain Road",Karnataka,Bengaluru Rural,12.9544164,77.585561
Shri Vinayaka Netralaya,Private,Multispecialty / General,,0.0,0.0,"No. 78, Nagaraj Complex, Hosur Main Road, Madiwala",Karnataka,Bengaluru Rural,12.9236246,77.6184528
Sree Tirumala Hospital,Private,Multispecialty / General,,0.0,0.0,"No. 1141, Mangammanapalya Main Road, Bommanahalli, Hosur Road",Karnataka,Bengaluru Rural,12.9067292,77.6332912
Uma Nursing Home,Private,Multispecialty / General,,0.0,0.0,"Mangammanapalya Main Road, Bommanahalli",Karnataka,Bengaluru Rural,12.9063872,77.6296627
Varalakshmi Hospital,Private,Multispecialty / General,,0.0,0.0,"No. 38/2, 2Nd Main Road, Madiwala New Extension",Karnataka,Bengaluru Rural,12.9157963,77.598176
Vinayaka Health Care andMaternity Home,Private,Women & Child,,0.0,0.0,"13/29,Prathik Complexhongaasandra, Begur Road",Karnataka,Bengaluru Rural,12.8918999,77.6258402
Ashwini Surgical Nursing Home,Private,Multispecialty / General,,0.0,0.0,"54/38 Iii Main Road, Vii Block, Jayanagar",Karnataka,Bengaluru Rural,12.9350703,77.5741292
Deepak Nursing Home,Private,Multispecialty / General,,0.0,0.0,"259, 33 Cross, Kanakapura Main Road, 7 Block, Jayanagar",Karnataka,Bengaluru Rural,12.9262771,77.5773302
J B S Nursing Home,Private,Multispecialty / General,,0.0,0.0,"27/B, 39Th Cross,8Th Block, Jayanagar",Karnataka,Bengaluru Rural,12.920812,77.587344
Mayo Hospital,Private,Multispecialty / General,,0.0,0.0,"No-124, Kanakpura Main Road Jayanagar 7Th Block",Karnataka,Bengaluru Rural,12.8908649,77.5961959
Nethradhama Hospitals Pvt. Ltd,Private,Eye / Ophthalmology,,0.0,0.0,"# 256/14, Kanakapura Main Road, 7Th Block, Jayanagar",Karnataka,Bengaluru Rural,12.925255,77.577359
Srushti Hospital,Private,Multispecialty / General,,0.0,0.0,"124, Kanakapura Main Road, Jayanagara 7Th Block, Bangalore",Karnataka,Bengaluru Rural,12.8908649,77.5961959
Yediyur Meternity Hospital,Private,Multispecialty / General,,0.0,0.0,"7Th Main, 4Th Cross, Kanakpura Main Rd, Bangalore North",Karnataka,Bengaluru Rural,12.8905223,77.6033668
Sapthagiri Hospital,Private,Multispecialty / General,,0.0,0.0,"#15, Chikkasandra, Hesaraghatta Main Road",Karnataka,Bengaluru Rural,13.0730767,77.5030755
Ashraya Medinova Pvt Ltd,Private,Multispecialty / General,,0.0,0.0,"Magadi Main Road, Sunkadakatte",Karnataka,Bengaluru Rural,12.989393,77.506555
